#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- standard track names

  T11	= Luigis Piste
  25b7	= \z{802,110000}\z{802,110001}\z{802,110002}\z{800,46}/\z{802,110003}
	+ \z{802,110004}\z{802,110005}
  25b8	/
  25e4	= R-Punkte
  25e5	= W-Punkte
  25e6	= RANG
  25e7	= Gast
  25e8	= ----
  25e9	/
  25ee	= \u{f060}
  25ef	= \u{f061}
  25f0	= \u{f062}
  25f1	= \u{f063}
  25f2	= \u{f064}
  25f3	= \u{f065}
  25f4	= \u{f066}
  25f5	= \u{f067}
  25f6	= \u{f074}
  25f7	= \u{f075}
  25f8	= \u{f076}
  25f9	= \u{f077}
  25fa	/
  26ac	= Die Verbindung zum\n
	+ Controller wurde unterbrochen.\n
	+ Bitte den A-Knopf drücken.
  26ad	= Controllerwechsel!\n
	+ Bitte den A-Knopf drücken.
  26ae	= Während eines Matchs kann der\n
	+ Controller nicht gewechselt werden.\n
	+ Bitte vorherigen Controller verwenden.
  26af	= Während eines Matchs via Nintendo WFC\n
	+ kann der Controller nicht gewechselt werden\n
	+ Bitte vorherigen Controller verwenden.
  26b0	= In diesem Wettbewerb wird das Wii Wheel\n
	+ benötigt. Bitte lege die Wii-Fernbedienung in\n
	+ das Wii Wheel ein und drücke den A-Knopf.
  270f	= ?

